City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Tulum,MX,2022-04-20 18:06:45,20.2167,-87.4667,85.19,54,3,9.91
207,Alice Springs,AU,2022-04-20 18:06:46,-23.7,133.8833,49.55,57,26,4.61
208,Wau,SS,2022-04-20 18:06:47,7.7029,27.9953,88.79,39,100,4.68
209,La Ronge,CA,2022-04-20 18:06:47,55.1001,-105.2842,33.01,73,99,10.78
210,Aklavik,CA,2022-04-20 18:06:47,68.2191,-135.0107,12.63,91,25,5.37
211,Dunedin,NZ,2022-04-20 18:06:48,-45.8742,170.5036,62.8,87,93,3.0
212,Luderitz,NA,2022-04-20 18:06:48,-26.6481,15.1594,70.75,46,11,5.46
213,Guatire,VE,2022-04-20 18:06:49,10.4762,-66.5427,83.19,67,95,5.12
214,Hervey Bay,AU,2022-04-20 18:06:49,-25.2986,152.8535,70.02,93,17,8.01
215,Klaksvik,FO,2022-04-20 18:06:50,62.2266,-6.589,47.32,93,26,18.7
216,Barrow,US,2022-04-20 18:01:53,71.2906,-156.7887,-0.38,78,0,12.66
217,Sherghati,IN,2022-04-20 18:06:50,24.5667,84.7833,85.62,39,0,9.73
218,Rockland,US,2022-04-20 18:06:51,41.1668,-74.0496,57.33,35,13,4.0
219,Pishin,PK,2022-04-20 18:06:51,30.5803,66.9961,63.52,19,0,3.18
220,Itarema,BR,2022-04-20 18:06:51,-2.9248,-39.9167,82.71,79,68,12.59
221,Batagay-Alyta,RU,2022-04-20 18:06:52,67.8006,130.4114,16.23,96,100,4.5
222,Koshurnikovo,RU,2022-04-20 18:06:52,54.1667,93.3,28.53,89,98,2.26
223,Hualmay,PE,2022-04-20 18:06:53,-11.0964,-77.6139,72.61,72,70,10.27
224,Dover,US,2022-04-20 18:02:10,39.1582,-75.5244,57.2,40,0,1.99
225,Trelew,AR,2022-04-20 18:06:53,-43.249,-65.3051,64.17,22,100,16.37
226,Barabinsk,RU,2022-04-20 18:06:54,55.3571,78.357,40.91,86,96,4.99
227,Envira,BR,2022-04-20 18:06:54,-7.3,-70.2167,79.25,89,89,2.53
228,Qianguo,CN,2022-04-20 18:06:55,45.1171,124.8568,62.51,34,100,20.29
229,Maceio,BR,2022-04-20 18:07:55,-9.6658,-35.7353,85.44,58,20,10.36
230,Huilong,CN,2022-04-20 18:07:55,31.8111,121.655,56.88,83,100,16.2
231,Saraland,US,2022-04-20 18:07:56,30.8207,-88.0706,75.56,53,82,10.56
232,Seoul,KR,2022-04-20 18:06:06,37.5683,126.9778,47.64,50,61,2.8
233,Den Helder,NL,2022-04-20 18:07:56,52.9599,4.7593,57.02,69,0,21.0
234,Grand Gaube,MU,2022-04-20 18:07:56,-20.0064,57.6608,77.38,87,77,3.0
235,Bartlesville,US,2022-04-20 18:07:57,36.7473,-95.9808,59.38,75,100,16.11
236,Tandalti,SD,2022-04-20 18:07:57,13.0167,31.8667,92.26,10,39,6.93
237,Ardakan,IR,2022-04-20 18:07:58,32.31,54.0175,78.01,11,98,3.49
238,Bjornevatn,NO,2022-04-20 18:07:58,69.6672,29.9847,43.14,65,0,0.0
239,Biak,ID,2022-04-20 18:07:59,-0.9131,122.8766,75.96,85,100,0.63
240,Westerland,DE,2022-04-20 18:07:59,54.9079,8.3033,56.01,62,0,9.22
241,Ajdabiya,LY,2022-04-20 18:07:59,30.7554,20.2263,67.37,39,4,6.76
242,Port Blair,IN,2022-04-20 18:08:00,11.6667,92.75,83.43,73,45,9.01
243,Shumikha,RU,2022-04-20 18:08:00,55.2261,63.2961,38.8,85,100,8.01
244,Leningradskiy,RU,2022-04-20 18:08:01,69.3833,178.4167,11.23,93,94,3.51
245,Saint Anthony,US,2022-04-20 18:08:01,45.0205,-93.218,46.26,84,100,17.27
246,Lakatoro,VU,2022-04-20 18:08:01,-16.0999,167.4164,79.57,83,8,6.6
247,Santiago Del Estero,AR,2022-04-20 18:08:02,-27.7951,-64.2615,85.71,38,19,9.98
248,Hay River,CA,2022-04-20 18:04:11,60.8156,-115.7999,27.95,73,16,3.36
249,Kahului,US,2022-04-20 18:08:02,20.8947,-156.47,77.85,71,40,14.97
250,Faya,SA,2022-04-20 18:08:03,18.3851,42.4509,66.72,52,87,5.03
251,Borogontsy,RU,2022-04-20 18:08:04,62.6683,131.1683,15.53,97,96,1.48
252,Kushima,JP,2022-04-20 18:08:04,31.4583,131.2333,60.84,78,100,3.6
253,Opuwo,NA,2022-04-20 18:08:05,-18.0607,13.84,72.25,28,97,8.16
254,Bud,US,2022-04-20 18:08:06,39.447,-86.1758,62.67,47,98,14.38
255,Semnan,IR,2022-04-20 18:08:06,35.5729,53.3971,72.7,25,63,1.83
256,Upington,ZA,2022-04-20 18:08:07,-28.4478,21.2561,73.31,27,5,10.09
257,Porto Nacional,BR,2022-04-20 18:04:23,-10.7081,-48.4172,87.8,68,10,6.31
258,Sorland,NO,2022-04-20 18:08:08,67.667,12.6934,44.46,92,6,5.91
259,Osakarovka,KZ,2022-04-20 18:08:09,50.565,72.5692,51.8,74,95,9.37
260,Kasane,BW,2022-04-20 18:08:09,-17.8167,25.15,67.14,60,83,8.12
261,Muromtsevo,RU,2022-04-20 18:08:09,56.3724,75.2418,38.07,85,94,5.01
