,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Touros,BR,-5.1989,-35.4608,74.57,85,95,9.33,overcast clouds
162,Chuy,UY,-33.6971,-53.4616,48.11,79,14,3.8,few clouds
163,Luganville,VU,-15.5333,167.1667,79.34,84,96,5.57,light rain
164,Port-Cartier,CA,50.0334,-66.8654,34.75,84,100,10.92,overcast clouds
165,Bengkulu,ID,-3.8004,102.2655,85.26,69,15,8.28,moderate rain
166,Svetlyy,RU,54.675,20.1347,44.65,57,96,8.01,overcast clouds
167,Lima,PE,-12.0432,-77.0282,67.89,78,0,8.05,clear sky
168,Xining,CN,36.6167,101.7667,39.56,65,100,10.27,overcast clouds
169,Pevek,RU,69.7008,170.3133,17.47,87,100,9.37,overcast clouds
170,Kavieng,PG,-2.5744,150.7967,83.88,69,80,3.27,light rain
171,Riyadh,SA,24.6877,46.7219,71.74,30,1,6.8,clear sky
172,Sur,OM,22.5667,59.5289,99.21,31,3,3.18,clear sky
173,Fort Nelson,CA,58.8053,-122.7002,35.19,69,0,2.3,clear sky
174,Cortes,ES,41.9395,-1.4396,57.25,81,100,11.88,overcast clouds
175,Katsuura,JP,35.1333,140.3,54.88,62,18,18.54,few clouds
176,Xinyang,CN,32.1228,114.0656,61.83,64,100,9.98,light rain
177,Hithadhoo,MV,-0.6,73.0833,85.05,72,48,11.43,scattered clouds
178,Atar,MR,20.5169,-13.0499,70.25,24,55,8.93,broken clouds
179,Suntar,RU,62.1444,117.6319,40.26,89,100,9.86,overcast clouds
180,Bolobo,CD,-2.1667,16.2333,71.15,91,100,2.15,overcast clouds
181,Caconda,AO,-13.7333,15.0667,56.91,80,8,4.9,clear sky
182,Port Lincoln,AU,-34.7333,135.8667,64.54,58,52,14.2,broken clouds
183,Jumla,NP,29.2747,82.1838,71.8,28,76,4.85,broken clouds
184,Tashtyp,RU,52.7939,89.8983,72.25,23,100,2.42,overcast clouds
185,Grindavik,IS,63.8424,-22.4338,43.27,87,75,5.75,broken clouds
186,Lagoa,PT,39.05,-27.9833,60.48,87,14,19.06,few clouds
187,Sao Francisco,BR,-15.9486,-44.8644,64.26,67,7,2.95,light rain
188,Lerwick,GB,60.1545,-1.1494,44.6,73,100,6.85,overcast clouds
189,Zaragoza,ES,41.6561,-0.8773,60.03,61,0,9.22,clear sky
190,Poum,NC,-20.2333,164.0167,77.13,73,40,9.66,scattered clouds
191,Medina Del Campo,ES,41.3124,-4.9141,49.6,75,98,3.85,overcast clouds
192,Wagar,SD,16.1525,36.2032,88.02,26,5,11.86,clear sky
193,Opuwo,NA,-18.0607,13.84,70.02,49,78,5.44,broken clouds
194,Panzhihua,CN,26.5851,101.7128,91.96,19,6,2.51,clear sky
195,Flin Flon,CA,54.7682,-101.865,31.39,99,39,2.86,scattered clouds
196,Upernavik,GL,72.7868,-56.1549,6.73,82,99,8.77,overcast clouds
197,Marion,US,39.7684,-86.1555,59.52,72,0,5.75,clear sky
198,Plettenberg Bay,ZA,-34.0527,23.3716,58.87,75,36,10.56,scattered clouds
199,Cayenne,GF,4.9333,-52.3333,81.09,1,100,5.99,overcast clouds
200,Asfi,MA,32.2994,-9.2372,61.59,71,89,6.62,overcast clouds
201,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,13.8,broken clouds
202,San Quintin,MX,30.4833,-115.95,57.13,85,1,5.5,clear sky
203,Angoche,MZ,-16.2325,39.9086,73.09,75,4,10.02,clear sky
204,Faya,SA,18.3851,42.4509,68.52,34,24,3.6,few clouds
205,Hilo,US,19.7297,-155.09,74.28,99,100,1.01,moderate rain
206,Saint-Philippe,RE,-21.3585,55.7679,82.22,77,43,14.27,scattered clouds
207,Kaitangata,NZ,-46.2817,169.8464,52.66,86,81,3.31,broken clouds
208,Yulara,AU,-25.2406,130.9889,73.24,43,100,17.27,overcast clouds
