City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Mecca,SA,91.87,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
215,Constancia,MX,67.98,clear sky,24.2231,-107.1869,Mi casa
216,Mehran,IR,80.02,few clouds,33.1222,46.1646,بوتیک زنانه بهار
219,Bambous Virieux,MU,80.85,few clouds,-20.3428,57.7575,Casa Tia Villa
225,Manavalakurichi,IN,89.26,overcast clouds,8.1333,77.3,Jebinrio home
226,Ribeira Grande,PT,61.54,few clouds,38.5167,-28.7,Quinta da Meia Eira
227,Zvishavane,ZW,61.09,clear sky,-20.3267,30.0665,Hotel Boutique Runde
228,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
229,Hovd,MN,60.89,clear sky,48.0056,91.6419,Hotel Khovd
230,Praia,CV,68.54,few clouds,14.9215,-23.5087,LT Aparthotel
232,Troitskoye,RU,71.8,overcast clouds,52.9821,84.6757,
233,Vila Franca Do Campo,PT,66.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
240,Caravelas,BR,71.96,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
243,Flinders,AU,71.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
244,Limulunga,ZM,63.63,clear sky,-15.0969,23.1376,Acamms Gardens
245,Tautira,PF,80.04,light rain,-17.7333,-149.15,Pension Oaoa
246,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
250,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
251,Tezu,IN,81.64,overcast clouds,27.9167,96.1667,Circuit House
253,Sao Joao Da Barra,BR,71.4,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
254,Oum Hadjer,TD,91.22,overcast clouds,13.2954,19.6966,
259,Mbaiki,CF,72.46,broken clouds,3.8678,17.9892,Motel MBM
260,Kashi,CN,65.41,dust,39.4547,75.9797,帕米尔青年旅舍
261,Carutapera,BR,75.0,overcast clouds,-1.195,-46.02,Lidera
265,Bagan,RU,77.32,broken clouds,54.1001,77.6646,Motel'
267,Dicabisagan,PH,86.83,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
268,Dorogino,RU,69.8,overcast clouds,54.3598,83.3198,
269,Taua,BR,70.0,overcast clouds,-5.9667,-40.3,Chácara Paraíso
270,Doka,SD,93.38,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
272,Awjilah,LY,68.13,clear sky,29.1081,21.2869,المنزل
274,Dombarovskiy,RU,61.99,overcast clouds,50.7587,59.5386,
275,Merauke,ID,83.75,scattered clouds,-8.4667,140.3333,
276,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
278,Jibuti,DJ,83.08,broken clouds,11.5,42.5,Orchid Main Camp Goubet
280,San Ignacio,BZ,77.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
281,Beboto,TD,79.21,overcast clouds,8.2668,16.939,
282,Port Shepstone,ZA,65.57,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
